2026-06-14 12:04:14.239 INFO  [restartedMain] [no-request-id] o.s.c.n.e.c.DiscoveryClientOptionalArgsConfiguration - Eureka HTTP Client uses RestClient.
2026-06-14 12:04:14.327 WARN  [restartedMain] [no-request-id] o.s.c.l.c.LoadBalancerCacheAutoConfiguration$LoadBalancerCaffeineWarnLogger - Spring Cloud LoadBalancer is currently working with the default cache. While this cache implementation is useful for development and tests, it's recommended to use Caffeine cache in production.You can switch to using Caffeine cache, by adding it and org.springframework.cache.caffeine.CaffeineCacheManager to the classpath.
2026-06-14 12:04:14.354 INFO  [restartedMain] [no-request-id] o.s.b.a.e.web.EndpointLinksResolver - Exposing 1 endpoint beneath base path '/actuator'
2026-06-14 12:04:14.469 INFO  [restartedMain] [no-request-id] o.s.c.n.eureka.InstanceInfoFactory - Setting initial instance status as: STARTING
2026-06-14 12:04:14.520 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Initializing Eureka in region us-east-1
2026-06-14 12:04:14.526 INFO  [restartedMain] [no-request-id] c.n.d.s.r.aws.ConfigClusterResolver - Resolving eureka endpoints via configuration
2026-06-14 12:04:14.540 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Disable delta property : false
2026-06-14 12:04:14.540 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Single vip registry refresh property : null
2026-06-14 12:04:14.541 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Force full registry fetch : false
2026-06-14 12:04:14.541 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Application is null : false
2026-06-14 12:04:14.541 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Registered Applications size is zero : true
2026-06-14 12:04:14.543 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Application version is -1: true
2026-06-14 12:04:14.543 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Getting all instance registry info from the eureka server
2026-06-14 12:04:15.123 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - The response status is 200
2026-06-14 12:04:15.129 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Starting heartbeat executor: renew interval is: 30
2026-06-14 12:04:15.133 INFO  [restartedMain] [no-request-id] c.n.discovery.InstanceInfoReplicator - InstanceInfoReplicator onDemand update allowed rate per min is 4
2026-06-14 12:04:15.138 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Discovery Client initialized at timestamp 1781418855135 with initial instances count: 7
2026-06-14 12:04:15.147 INFO  [restartedMain] [no-request-id] o.s.c.n.e.s.EurekaServiceRegistry - Registering application API-GATEWAY with eureka with status UP
2026-06-14 12:04:15.148 INFO  [restartedMain] [no-request-id] c.netflix.discovery.DiscoveryClient - Saw local status change event StatusChangeEvent [timestamp=1781418855148, current=UP, previous=STARTING]
